"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","13/61","31/18860",0.419354838709677,129.656266525648,40.8371135308906,2.12439820645547e-25,2.67036854551452e-22,2.0953274941566e-22,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/1520",13
"GO:0002399","MHC class II protein complex assembly","11/61","16/18860",0.6875,212.561475409836,48.2244079420327,6.72564085210938e-25,2.81804351703383e-22,2.21120192225491e-22,"3122/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112",11
"GO:0002503","peptide antigen assembly with MHC class II protein complex","11/61","16/18860",0.6875,212.561475409836,48.2244079420327,6.72564085210938e-25,2.81804351703383e-22,2.21120192225491e-22,"3122/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112",11
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","13/61","35/18860",0.371428571428571,114.838407494145,38.3983192650708,1.50627789488737e-24,4.73347828468357e-22,3.7141641776565e-22,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/1520",13
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","13/61","37/18860",0.351351351351351,108.630926007975,37.329346879357,3.61752843835555e-24,9.09446649402586e-22,7.13605083524032e-22,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/1520",13
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","13/61","41/18860",0.317073170731707,98.0327868852459,35.4298273498754,1.77235943124676e-23,3.71309300846197e-21,2.9135101527688e-21,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/1520",13
"GO:0019884","antigen processing and presentation of exogenous antigen","13/61","50/18860",0.26,80.3868852459017,32.0181504427396,3.49410604562868e-22,5.26444508016048e-20,4.13079181016654e-20,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/1520",13
"GO:0002396","MHC protein complex assembly","11/61","24/18860",0.458333333333333,141.707650273224,39.2903470066457,3.76929242016264e-22,5.26444508016048e-20,4.13079181016654e-20,"3122/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112",11
"GO:0002501","peptide antigen assembly with MHC protein complex","11/61","24/18860",0.458333333333333,141.707650273224,39.2903470066457,3.76929242016264e-22,5.26444508016048e-20,4.13079181016654e-20,"3122/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112",11
"GO:0048002","antigen processing and presentation of peptide antigen","13/61","72/18860",0.180555555555556,55.8242258652095,26.5494393424315,6.6268630011004e-20,8.3299667923832e-18,6.53617961266428e-18,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/1520",13
"GO:0019882","antigen processing and presentation","14/61","120/18860",0.116666666666667,36.0710382513661,21.9538820512209,1.43068565264477e-18,1.63488351397679e-16,1.28282531725182e-16,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/2208/3112/1520",14
"GO:0050851","antigen receptor-mediated signaling pathway","13/61","215/18860",0.0604651162790698,18.6946244757911,14.8640192874207,1.54730383231327e-13,1.62080076434815e-11,1.27177516743643e-11,"973/3115/3123/974/931/3119/55024/7805/4208/971/7462/640/5579",13
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","15/61","385/18860",0.038961038961039,12.0459868000852,12.4738217852462,1.02035596173656e-12,9.8660572607912e-11,7.74148612264904e-11,"973/3115/3123/974/931/3119/55024/2208/958/7805/4208/971/7462/640/5579",15
"GO:0050853","B cell receptor signaling pathway","9/61","78/18860",0.115384615384615,35.6746532156368,17.4801591907503,3.20778507304058e-12,2.88013274058001e-10,2.25992076198423e-10,"973/974/931/55024/4208/971/7462/640/5579",9
"GO:0051251","positive regulation of lymphocyte activation","14/61","346/18860",0.0404624277456647,12.5101866767744,12.3091243982759,3.89118240499042e-12,3.26081085538197e-10,2.55862309717615e-10,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/958/4208",14
"GO:0002429","immune response-activating cell surface receptor signaling pathway","14/61","353/18860",0.0396600566572238,12.2621093205777,12.1673486494574,5.093422336226e-12,4.00151992289755e-10,3.13982679542353e-10,"973/3115/3123/974/931/3119/55024/2208/7805/4208/971/7462/640/5579",14
"GO:0007159","leukocyte cell-cell adhesion","15/61","439/18860",0.0341685649202733,10.5642481048583,11.5500367541909,6.6700361790065e-12,4.93190322177127e-10,3.86985999983225e-10,"3122/972/3115/3123/3113/3117/3119/951/3127/3108/3109/3118/3112/7805/6402",15
"GO:0002696","positive regulation of leukocyte activation","14/61","381/18860",0.036745406824147,11.3609569295641,11.6380440663261,1.41520638700766e-11,9.88285793593679e-10,7.75466891594253e-10,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/958/4208",14
"GO:0050867","positive regulation of cell activation","14/61","401/18860",0.0349127182044888,10.7943256612567,11.2927448422785,2.79670927020918e-11,1.75773177632647e-09,1.37921925588737e-09,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112/958/4208",14
"GO:1903037","regulation of leukocyte cell-cell adhesion","14/61","401/18860",0.0349127182044888,10.7943256612567,11.2927448422785,2.79670927020918e-11,1.75773177632647e-09,1.37921925588737e-09,"3122/972/3115/3123/3113/3117/3119/951/3127/3108/3109/3118/3112/7805",14
"GO:0050863","regulation of T cell activation","14/61","404/18860",0.0346534653465347,10.7141697776335,11.2430581047186,3.08767450444754e-11,1.84819373909074e-09,1.4502010078533e-09,"3122/972/3115/3123/3113/3117/3119/951/3127/3108/3109/3118/3112/7805",14
"GO:0050870","positive regulation of T cell activation","12/61","267/18860",0.0449438202247191,13.8957450727574,12.0888282964817,4.76469681203659e-11,2.72237449669545e-09,2.13613440807574e-09,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112",12
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","12/61","289/18860",0.041522491349481,12.8379374893641,11.5521865252174,1.19100383810784e-10,6.50909488913721e-09,5.10741691673707e-09,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112",12
"GO:0022409","positive regulation of cell-cell adhesion","12/61","343/18860",0.0349854227405248,10.8168044735459,10.4517439466406,8.46720809546697e-10,4.43470024000082e-08,3.47972543221603e-08,"3122/972/3115/3123/3113/3117/3119/3127/3108/3109/3118/3112",12
"GO:0042113","B cell activation","11/61","291/18860",0.0378006872852234,11.6872288885133,10.465843131595,2.06048286783432e-09,1.03601078594709e-07,8.12914714594002e-08,"972/973/974/931/55024/3394/958/7805/4208/7462/5579",11
"GO:0046651","lymphocyte proliferation","11/61","312/18860",0.0352564102564103,10.9005884825557,10.0449235711435,4.26677043403108e-09,2.06281939829887e-07,1.61860886505551e-07,"972/973/3115/3123/3113/931/951/3109/958/7805/4208",11
"GO:0032943","mononuclear cell proliferation","11/61","319/18860",0.0344827586206897,10.6613906161673,9.91346048111643,5.37456471838128e-09,2.50215846333528e-07,1.96334001603246e-07,"972/973/3115/3123/3113/931/951/3109/958/7805/4208",11
"GO:0070661","leukocyte proliferation","11/61","356/18860",0.0308988764044944,9.55332473752072,9.28077029619423,1.67119692466517e-08,7.50248047965756e-07,5.88688540756114e-07,"972/973/3115/3123/3113/931/951/3109/958/7805/4208",11
"GO:0050670","regulation of lymphocyte proliferation","9/61","254/18860",0.0354330708661417,10.955208467794,9.09908207942088,1.19151366567026e-07,5.16459544050868e-06,4.05244393732499e-06,"972/3115/3123/3113/951/3109/958/7805/4208",9
"GO:0032944","regulation of mononuclear cell proliferation","9/61","258/18860",0.0348837209302326,10.7853602744949,9.01495839604836,1.3608422207423e-07,5.70192890491025e-06,4.47406723100189e-06,"972/3115/3123/3113/951/3109/958/7805/4208",9
