"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.98576995992131e-117,1.17385338807195,0.928,0.712,1.36944849230361e-112,"CD14+ Mono","VIM"
2.52195126671615e-111,1.1105257712619,0.967,0.704,3.45860396717453e-107,"CD14+ Mono","S100A4"
1.80593655102607e-107,5.14065469354821,0.481,0.133,2.47666138607716e-103,"CD14+ Mono","S100A8"
5.74284662153847e-102,3.92264678857773,0.407,0.078,7.87573985677786e-98,"CD14+ Mono","LGALS2"
3.13664833680656e-88,4.60399017594436,0.303,0.032,4.30159952909651e-84,"CD14+ Mono","CD14"
2.97892306299081e-87,4.64060894974421,0.539,0.23,4.08529508858559e-83,"CD14+ Mono","S100A9"
5.15207835071249e-83,1.2284024062419,0.919,0.687,7.06556025016711e-79,"CD14+ Mono","S100A6"
1.36138378701073e-80,1.15411707342079,0.747,0.371,1.86700172550652e-76,"CD14+ Mono","S100A11"
6.29524077103616e-75,3.7521828007154,0.31,0.052,8.63329319339898e-71,"CD14+ Mono","MS4A6A"
4.85115355093144e-71,2.41588578868387,0.467,0.176,6.65287197974738e-67,"CD14+ Mono","FCN1"
5.66136821536375e-67,1.34748464515878,0.591,0.305,7.76400037054984e-63,"CD14+ Mono","GPX1"
1.1950700694601e-64,3.20013873502065,0.737,0.512,1.63891909325758e-60,"CD14+ Mono","LYZ"
5.09216514132606e-64,1.11537545396894,0.805,0.527,6.98339527481456e-60,"CD14+ Mono","S100A10"
7.8528917598628e-63,0.981366262105731,0.997,0.984,1.07694557594758e-58,"CD14+ Mono","FTH1"
1.66395807367366e-61,1.50886650447586,0.647,0.357,2.28195210223606e-57,"CD14+ Mono","LGALS1"
2.82660776749436e-55,0.693460006988504,0.814,0.5,3.87640989234177e-51,"CD14+ Mono","COTL1"
1.35662356355366e-51,0.801345653817676,0.932,0.794,1.86047355505749e-47,"CD14+ Mono","GAPDH"
1.82422309135793e-50,1.65895734305275,0.499,0.243,2.50173954748827e-46,"CD14+ Mono","TYMP"
7.13200476401426e-50,1.49115435199936,0.547,0.293,9.78083133336916e-46,"CD14+ Mono","CST3"
2.2467264920119e-48,1.34493020280924,0.622,0.377,3.08116071114512e-44,"CD14+ Mono","TSPO"
2.3794197699227e-47,0.381592669982511,1,0.989,3.263136272472e-43,"CD14+ Mono","TMSB10"
8.71380738592484e-46,2.16779418499522,0.371,0.152,1.19501154490573e-41,"CD14+ Mono","GRN"
1.11670226315813e-44,1.89896966585136,0.376,0.155,1.53144548369505e-40,"CD14+ Mono","LGALS3"
2.33591972360638e-44,0.264327272064145,1,1,3.20348030895378e-40,"CD14+ Mono","TMSB4X"
2.26778085812924e-43,1.57792219584611,0.587,0.37,3.11003466883844e-39,"CD14+ Mono","GSTP1"
4.04894237467305e-41,0.611325174054896,0.514,0.246,5.55271957262662e-37,"CD14+ Mono","LST1"
5.92805573263444e-41,2.45422885494982,0.27,0.086,8.12973563173487e-37,"CD14+ Mono","BLVRB"
1.01369810505934e-38,1.45280313979686,0.355,0.142,1.39018558127838e-34,"CD14+ Mono","CFD"
1.58148901286639e-38,1.75383628207566,0.417,0.214,2.16885403224496e-34,"CD14+ Mono","AP1S2"
2.43396244802685e-38,0.685050642630613,0.74,0.49,3.33793610122402e-34,"CD14+ Mono","ANXA1"
1.09764721757149e-37,1.56782582935072,0.506,0.322,1.50531339417755e-33,"CD14+ Mono","TYROBP"
8.76686103926365e-37,0.467237931964465,0.971,0.884,1.20228732292462e-32,"CD14+ Mono","FOS"
6.34008874122106e-35,0.901588935355251,0.509,0.28,8.69479769971056e-31,"CD14+ Mono","AIF1"
2.55660173463017e-34,1.13568207644018,0.472,0.252,3.50612361887181e-30,"CD14+ Mono","PLP2"
2.9643865187627e-33,0.744346720579519,0.714,0.505,4.06535967183117e-29,"CD14+ Mono","SAT1"
7.64083210256643e-33,1.18699227770102,0.54,0.332,1.04786371454596e-28,"CD14+ Mono","NPC2"
2.61658741309515e-31,0.529804078139706,0.471,0.229,3.58838797831869e-27,"CD14+ Mono","TIMP1"
3.09283722290824e-31,1.52698624592289,0.398,0.197,4.24151696749635e-27,"CD14+ Mono","LINC00936"
8.65151218846663e-31,1.20052075547976,0.469,0.269,1.18646838152631e-26,"CD14+ Mono","TKT"
3.79906414195167e-30,0.954296340317264,0.626,0.428,5.21003656427253e-26,"CD14+ Mono","PSAP"
4.56076123546371e-30,0.759631888407681,0.764,0.552,6.25462795831493e-26,"CD14+ Mono","NEAT1"
